sample,a_hex,b_hex,expected_lo,base_cycles,ved_cycles,base_result,ved_result,base_ok,ved_ok
0,bd5b7dde,95fc0203,0b96359a,36,3,0b96359a,0b96359a,1,1
1,7ab6fbbc,2bf80406,2e58d668,36,3,2e58d668,2e58d668,1,1
2,f56df779,57f0080c,115361ac,36,3,115361ac,115361ac,1,1
3,eadbeef3,afe01019,e00985bb,36,3,e00985bb,e00985bb,1,1
4,d5b7dde7,5fc02033,b59e1505,36,3,b59e1505,b59e1505,1,1
5,ab6fbbce,bf804066,d6785414,36,3,d6785414,d6785414,1,1
6,56df779d,7f0080cc,d8e1d11c,36,3,d8e1d11c,d8e1d11c,1,1
7,adbeef3b,fe010198,61884608,36,3,61884608,61884608,1,1
8,5b7dde76,fc020331,e19ef696,36,3,e19ef696,e19ef696,1,1
9,b6fbbcec,f8040662,867bda58,36,3,867bda58,867bda58,1,1
10,6df779d8,f0080cc4,19ef6960,36,3,19ef6960,19ef6960,1,1
11,dbeef3b1,e0101989,23bcb2b9,36,3,23bcb2b9,23bcb2b9,1,1
12,b7dde763,c0203312,4f12fdf6,36,3,4f12fdf6,4f12fdf6,1,1
13,6fbbcec7,80406625,2c482cc3,36,3,2c482cc3,2c482cc3,1,1
14,df779d8f,0080cc4a,b1a17f56,36,3,b1a17f56,b1a17f56,1,1
15,beef3b1e,01019895,85753876,36,3,85753876,85753876,1,1
16,7dde763d,0203312b,95b6893f,36,3,95b6893f,95b6893f,1,1
17,fbbcec7b,04066256,5ae08752,36,3,5ae08752,5ae08752,1,1
18,f779d8f6,080cc4ad,62fbf63e,36,3,62fbf63e,62fbf63e,1,1
19,eef3b1ed,1019895b,8afd143f,36,3,8afd143f,8afd143f,1,1
20,dde763db,203312b6,4c2763b2,36,3,4c2763b2,4c2763b2,1,1
21,bbcec7b6,4066256c,309d8ec8,36,3,309d8ec8,309d8ec8,1,1
22,779d8f6c,80cc4ad9,3a13ca8c,36,3,3a13ca8c,3a13ca8c,1,1
23,ef3b1ed8,019895b2,e84f2a30,36,3,e84f2a30,e84f2a30,1,1
24,de763db0,03312b65,7fb2e670,36,3,7fb2e670,7fb2e670,1,1
25,bcec7b60,066256ca,fecb99c0,36,3,fecb99c0,fecb99c0,1,1
26,79d8f6c0,0cc4ad94,fb2e6700,36,3,fb2e6700,fb2e6700,1,1
27,f3b1ed80,19895b28,ecb99c00,36,3,ecb99c00,ecb99c00,1,1
28,e763db00,3312b650,b2e67000,36,3,b2e67000,b2e67000,1,1
29,cec7b600,66256ca0,cb99c000,36,3,cb99c000,cb99c000,1,1
30,9d8f6c01,cc4ad941,98414541,36,3,98414541,98414541,1,1
31,3b1ed802,9895b282,61051504,36,3,61051504,61051504,1,1
32,763db005,312b6504,b53fb914,36,3,b53fb914,b53fb914,1,1
33,ec7b600a,6256ca09,c17a445a,36,3,c17a445a,c17a445a,1,1
34,d8f6c015,c4ad9413,a38d658f,36,3,a38d658f,a38d658f,1,1
35,b1ed802b,895b2826,1790be62,36,3,1790be62,1790be62,1,1
36,63db0056,12b6504c,5e42f988,36,3,5e42f988,5e42f988,1,1
37,c7b600ad,256ca099,662e8765,36,3,662e8765,662e8765,1,1
38,8f6c015b,4ad94132,e3935ec6,36,3,e3935ec6,e3935ec6,1,1
39,1ed802b6,95b28265,ad257dce,36,3,ad257dce,ad257dce,1,1
40,3db0056d,2b6504cb,1dab016f,36,3,1dab016f,1dab016f,1,1
41,7b600ada,56ca0997,f20c1096,36,3,f20c1096,f20c1096,1,1
42,f6c015b4,ad94132e,c8304258,36,3,c8304258,c8304258,1,1
43,ed802b69,5b28265c,7be92fbc,36,3,7be92fbc,7be92fbc,1,1
44,db0056d2,b6504cb9,caa515c2,36,3,caa515c2,caa515c2,1,1
45,b600ada4,6ca09972,2a945708,36,3,2a945708,2a945708,1,1
46,6c015b49,d94132e4,83928f04,36,3,83928f04,83928f04,1,1
47,d802b693,b28265c9,98cf586b,36,3,98cf586b,98cf586b,1,1
48,b0056d27,6504cb92,c8422d3e,36,3,c8422d3e,c8422d3e,1,1
49,600ada4f,ca099725,4b1d266b,36,3,4b1d266b,4b1d266b,1,1
50,c015b49e,94132e4a,2c7499ac,36,3,2c7499ac,2c7499ac,1,1
51,802b693c,28265c94,b1d266b0,36,3,b1d266b0,b1d266b0,1,1
52,0056d278,504cb929,c7a06d38,36,3,c7a06d38,c7a06d38,1,1
53,00ada4f0,a0997253,1f2f59d0,36,3,1f2f59d0,1f2f59d0,1,1
54,015b49e1,4132e4a7,bf4b95c7,36,3,bf4b95c7,bf4b95c7,1,1
55,02b693c3,8265c94f,824ab42d,36,3,824ab42d,824ab42d,1,1
56,056d2787,04cb929e,0df66352,36,3,0df66352,0df66352,1,1
57,0ada4f0f,0997253d,4c4b0193,36,3,4c4b0193,4c4b0193,1,1
58,15b49e1e,132e4a7b,46e0a46a,36,3,46e0a46a,46e0a46a,1,1
59,2b693c3c,265c94f7,46ebcde4,36,3,46ebcde4,46ebcde4,1,1
60,56d27879,4cb929ee,6868617e,36,3,6868617e,6868617e,1,1
61,ada4f0f3,997253dc,3b13d9d4,36,3,3b13d9d4,3b13d9d4,1,1
62,5b49e1e6,32e4a7b8,ec4f6750,36,3,ec4f6750,ec4f6750,1,1
63,b693c3cd,65c94f71,cd9ab07d,36,3,cd9ab07d,cd9ab07d,1,1
