metric,value
phase,5
setup_slack_ns,21.683
hold_slack_ns,1.084
critical_path_delay_ns,61.650000
total_power_mw,0.700
core_area_um2,486.000
cmos_cell_count,486
cmos_synth_status,pass
drc_violations,N/A
lvs_violations,N/A
ir_violations,N/A
em_violations,N/A
openroad_available,no
magic_available,no
netgen_available,no
klayout_available,no
gds_generated,yes
baseline_avg_cycles,36.00
optimized_avg_cycles,3.00
baseline_speedup,12.00x
tapeout_status,blocked-missing-physical-tools
